region,region_geo,code,indicateur,valeur
Saint Louis,Saint Louis,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),22.9
Louga,Louga,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),18.0
Matam,Matam,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),25.3
Dakar,Dakar,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),10.4
Thiès,Thies,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),15.9
Diourbel,Diourbel,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),17.5
Fatick,Fatick,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),15.9
Kaffrine,Kaffrine,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),28.4
Kaolack,Kaolack,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),14.6
Ziguinchor,Ziguinchor,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),10.3
Sédhiou,Sedhiou,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),24.5
Kolda,Kolda,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),17.9
Kédougou,Kedougou,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),21.3
Tambacounda,Tambacounda,CN_NUTS_C_HA2,Retard de croissance / malnutrition chronique (%),23.5
Saint Louis,Saint Louis,ED_LITR_W_LIT,Alphabétisation des femmes (%),47.0
Louga,Louga,ED_LITR_W_LIT,Alphabétisation des femmes (%),42.0
Matam,Matam,ED_LITR_W_LIT,Alphabétisation des femmes (%),36.2
Dakar,Dakar,ED_LITR_W_LIT,Alphabétisation des femmes (%),68.9
Thiès,Thies,ED_LITR_W_LIT,Alphabétisation des femmes (%),57.1
Diourbel,Diourbel,ED_LITR_W_LIT,Alphabétisation des femmes (%),30.7
Fatick,Fatick,ED_LITR_W_LIT,Alphabétisation des femmes (%),52.9
Kaffrine,Kaffrine,ED_LITR_W_LIT,Alphabétisation des femmes (%),22.3
Kaolack,Kaolack,ED_LITR_W_LIT,Alphabétisation des femmes (%),44.5
Ziguinchor,Ziguinchor,ED_LITR_W_LIT,Alphabétisation des femmes (%),75.6
Sédhiou,Sedhiou,ED_LITR_W_LIT,Alphabétisation des femmes (%),38.2
Kolda,Kolda,ED_LITR_W_LIT,Alphabétisation des femmes (%),37.5
Kédougou,Kedougou,ED_LITR_W_LIT,Alphabétisation des femmes (%),50.2
Tambacounda,Tambacounda,ED_LITR_W_LIT,Alphabétisation des femmes (%),31.1
Saint Louis,Saint Louis,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),89.8
Louga,Louga,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),99.7
Matam,Matam,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),94.4
Dakar,Dakar,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),99.9
Thiès,Thies,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),96.2
Diourbel,Diourbel,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),99.4
Fatick,Fatick,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),82.4
Kaffrine,Kaffrine,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),96.5
Kaolack,Kaolack,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),96.9
Ziguinchor,Ziguinchor,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),71.3
Sédhiou,Sedhiou,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),45.0
Kolda,Kolda,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),41.6
Kédougou,Kedougou,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),85.8
Tambacounda,Tambacounda,WS_SRCE_H_IMP,Accès à une source d'eau améliorée (%),79.4
Saint Louis,Saint Louis,HC_ELEC_H_ELC,Ménages avec électricité (%),64.9
Louga,Louga,HC_ELEC_H_ELC,Ménages avec électricité (%),68.5
Matam,Matam,HC_ELEC_H_ELC,Ménages avec électricité (%),51.8
Dakar,Dakar,HC_ELEC_H_ELC,Ménages avec électricité (%),98.2
Thiès,Thies,HC_ELEC_H_ELC,Ménages avec électricité (%),92.2
Diourbel,Diourbel,HC_ELEC_H_ELC,Ménages avec électricité (%),87.0
Fatick,Fatick,HC_ELEC_H_ELC,Ménages avec électricité (%),55.7
Kaffrine,Kaffrine,HC_ELEC_H_ELC,Ménages avec électricité (%),47.4
Kaolack,Kaolack,HC_ELEC_H_ELC,Ménages avec électricité (%),74.7
Ziguinchor,Ziguinchor,HC_ELEC_H_ELC,Ménages avec électricité (%),66.6
Sédhiou,Sedhiou,HC_ELEC_H_ELC,Ménages avec électricité (%),45.6
Kolda,Kolda,HC_ELEC_H_ELC,Ménages avec électricité (%),39.6
Kédougou,Kedougou,HC_ELEC_H_ELC,Ménages avec électricité (%),42.1
Tambacounda,Tambacounda,HC_ELEC_H_ELC,Ménages avec électricité (%),45.4
