code,indicateur,annee,valeur
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1999,44.1520233458676
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2000,43.9460296982623
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2001,43.7481432872134
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2002,43.4774838351289
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2003,43.2249783046188
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2004,43.076328266673
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2005,42.9441771560643
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2006,42.8317393391854
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2007,42.7468408207458
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2008,42.6917462330148
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2009,42.6694983841395
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2010,42.6730350117181
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2011,42.6848690395822
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2012,42.7005059804502
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2013,42.6806757189143
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2014,42.5669714141041
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2015,42.3643492484461
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2016,42.0962643936666
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2017,41.7561348863197
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2018,41.338892959775
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2019,40.8595094154888
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2020,40.3310678021691
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2021,39.7622761897608
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2022,39.1603034665879
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2023,38.6295981592884
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),2024,38.1823663294065
