annee,code,valeur,source
2012,RH_DELP_C_DHF,72.6,EDS/DHS
2014,RH_DELP_C_DHF,77.9,EDS/DHS
2014,RH_DELP_C_DHF,76.9,EDS/DHS
2014,RH_DELP_C_DHF,77.8,EDS/DHS
2015,RH_DELP_C_DHF,75.4,EDS/DHS
2015,RH_DELP_C_DHF,74.5,EDS/DHS
2015,RH_DELP_C_DHF,74.9,EDS/DHS
2016,RH_DELP_C_DHF,77.1,EDS/DHS
2016,RH_DELP_C_DHF,75.9,EDS/DHS
2016,RH_DELP_C_DHF,77.1,EDS/DHS
2017,RH_DELP_C_DHF,79.8,EDS/DHS
2017,RH_DELP_C_DHF,78.2,EDS/DHS
2017,RH_DELP_C_DHF,80.3,EDS/DHS
2018,RH_DELP_C_DHF,83.0,EDS/DHS
2018,RH_DELP_C_DHF,81.7,EDS/DHS
2018,RH_DELP_C_DHF,84.4,EDS/DHS
2019,RH_DELP_C_DHF,82.4,EDS/DHS
2019,RH_DELP_C_DHF,80.3,EDS/DHS
2019,RH_DELP_C_DHF,83.1,EDS/DHS
2023,RH_DELP_C_DHF,92.1,EDS/DHS
2023,RH_DELP_C_DHF,92.3,EDS/DHS
1993,WS_SRCE_H_IMP,52.0,EDS/DHS
1997,WS_SRCE_H_IMP,53.3,EDS/DHS
2005,WS_SRCE_H_IMP,70.6,EDS/DHS
2006,WS_SRCE_H_IMP,73.1,EDS/DHS
2008,WS_SRCE_H_IMP,74.3,EDS/DHS
2010,WS_SRCE_H_IMP,79.7,EDS/DHS
2012,WS_SRCE_H_IMP,78.8,EDS/DHS
2014,WS_SRCE_H_IMP,83.7,EDS/DHS
2015,WS_SRCE_H_IMP,78.6,EDS/DHS
2016,WS_SRCE_H_IMP,85.6,EDS/DHS
2017,WS_SRCE_H_IMP,85.1,EDS/DHS
2018,WS_SRCE_H_IMP,85.6,EDS/DHS
2019,WS_SRCE_H_IMP,86.2,EDS/DHS
2020,WS_SRCE_H_IMP,88.7,EDS/DHS
2023,WS_SRCE_H_IMP,90.9,EDS/DHS
1960,SH.DYN.MORT,295.3,Banque mondiale
1961,SH.DYN.MORT,295.4,Banque mondiale
1962,SH.DYN.MORT,296.0,Banque mondiale
1963,SH.DYN.MORT,296.8,Banque mondiale
1964,SH.DYN.MORT,297.3,Banque mondiale
